source,record_id,title,screening_stage,decision,reason
NCBI GEO DataSets,GSE168574,The mechano-biological microenvironment of pancreatic ductal adenocarcinoma,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE308896,Cancer cells transfer invasive properties through microRNAs contained in collagen-tracks,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE311707,Stiffness-mediated Paracrine Signaling Enhances Induction of EMT in Oral Squamous Cell Carcinoma,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE295578,TGF-β induces an atypical EMT to evade immune mechanosurveillance in lung adenocarcinoma dormant metastasis ,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE288465,siPiezo1 or scRNA immortalised MSC cell line (Y201) cultured on soft hydrogels ,Full eligibility assessment,Excluded after eligibility assessment,Soft condition deposited in a separate GEO series; condition is confounded with series-level processing/normalization
NCBI GEO DataSets,GSE288464,siPiezo1 or scRNA immortalised MSC cell line (Y201) cultured on fibronectin coated glass coverslips,Full eligibility assessment,Excluded after eligibility assessment,Glass perturbation series; no within-series soft-versus-stiff matrix contrast
NCBI GEO DataSets,GSE288423,siPiezo1 or scRNA immortalised MSC cell line (Y201) cultured on stiff hydrogels,Full eligibility assessment,Excluded after eligibility assessment,Stiff condition deposited in a separate GEO series; condition is confounded with series-level processing/normalization
NCBI GEO DataSets,GSE279391,The role of splicing factor PTBP1 in mechanotransduction,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE288678,Combinatorial Extracellular Matrix Tissue Chips for Optimizing Mesenchymal Stromal Cell Microenvironment and Manufacturing,Full eligibility assessment,Included in quantitative synthesis,Eligible controlled matrix-stiffness transcriptomic comparison with at least two biological samples per condition
NCBI GEO DataSets,GSE262420,Mechanomemory of pulmonary fibroblasts demonstrates reversibility of transcriptomics and contraction phenotypes,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE269762,TGF-β protects dormant metastasis from immune mechanosurveillance,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE255574,Matrix stiffness-dependent regulation of immunomodulatory genes in human MSCs is associated with the lncRNA CYTOR,Full eligibility assessment,Included in quantitative synthesis,Eligible controlled matrix-stiffness transcriptomic comparison with at least two biological samples per condition
NCBI GEO DataSets,GSE273281,Extracellular matrix sulfation in the tumor microenvironment stimulates cancer stemness and invasiveness,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE245884,Modulating Mesenchymal Stromal Cell Microenvironment Alters Exosome RNA Content and Ligament Healing Capacity,Title/summary,Excluded at title/summary,Soluble microenvironment/exosome perturbation; no matrix-stiffness contrast
NCBI GEO DataSets,GSE226411,Stiffness Assisted Cell-Matrix Remodeling Trigger Mechanotransduction Regulatory Programs to Induce Stem Cell Differentiation ,Full eligibility assessment,Included in quantitative synthesis,Eligible controlled matrix-stiffness transcriptomic comparison with at least two biological samples per condition
NCBI GEO DataSets,GSE252829,Quantification of local matrix deposition during muscle stem cell activation using engineered hydrogels,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE250271,miRNA expression profiling of hTERT-immortalized renal proximal tubule epithelial (RPTEC/TERT1) cell treated with mesenchymal stem cell-conditioned miedium (BMSC-CM) on polyacrylamide (PAA) gel platform,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE179983,A convolutional neural network STIFMap reveals associations between stromal stiffness and EMT in breast cancer ,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE180866,Harnessing matrix stiffness to engineer a bone marrow niche for hematopoietic stem cell rejuvenation,Title/summary,Excluded at title/summary,Dimensional culture comparison without controlled paired matrix-modulus levels
NCBI GEO DataSets,GSE181512,Next-generation sequencing facilitates quantitative analysis of rat BMSCs in soft or stiff SA hydrogel,Full eligibility assessment,Included in quantitative synthesis,Eligible controlled matrix-stiffness transcriptomic comparison with at least two biological samples per condition
NCBI GEO DataSets,GSE166824,Delineating the heterogeneity of matrix-directed differentiation towards soft and stiff tissue lineages via single-cell profiling.,Full eligibility assessment,Excluded after eligibility assessment,Single donor; cells are not independent biological replicates; retained only for descriptive external analysis
NCBI GEO DataSets,GSE157056,Mechanical control of MSC adipogenesis does not require Lamin A/C,Full eligibility assessment,Excluded after eligibility assessment,Mechanical vibration/strain exposure rather than a controlled extracellular-matrix stiffness contrast
NCBI GEO DataSets,GSE141686,Phosphorylation of the transcriptional coregulator aNAC by DNA-PKcs regulates osteoblastogenesis ,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE98764,Modeling Progressive Fibrosis with Pluripotent Stem Cells Identifies an Anti-Fibrotic Small Molecule,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE95060,Soft Hydrogels Support Differentiation of Induced Pluripotent Stem Cells toward Mesenchymal Stromal Cells [expression],Title/summary,Excluded at title/summary,iPSC-to-MSC induction study; no eligible MSC stiff-versus-soft transcriptomic contrast
NCBI GEO DataSets,GSE95058,Soft Hydrogels Support Differentiation of Induced Pluripotent Stem Cells toward Mesenchymal Stromal Cells [methylation],Title/summary,Excluded at title/summary,DNA methylation profiling; not transcriptomic expression outcome
NCBI GEO DataSets,GSE66454,Vascularized And Complex Organ Buds From Diverse Tissues Via Mesenchymal Cell-Driven Condensation,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE55889,Matrix Elasticity Does Not Affect Replicative Senescence or DNA Methylation Patterns of Mesenchymal Stem Cells,Title/summary,Excluded at title/summary,Superseries/duplicate of expression GSE55867 and methylation GSE55888
NCBI GEO DataSets,GSE55888,Matrix Elasticity Does Not Affect Replicative Senescence or DNA Methylation Patterns of Mesenchymal Stem Cells [DNAm profiling],Title/summary,Excluded at title/summary,DNA methylation profiling; not transcriptomic expression outcome
NCBI GEO DataSets,GSE55867,Matrix Elasticity Does Not Affect Replicative Senescence or DNA Methylation Patterns of Mesenchymal Stem Cells [gene expression profiling],Full eligibility assessment,Included in quantitative synthesis,Eligible controlled matrix-stiffness transcriptomic comparison with at least two biological samples per condition
NCBI GEO DataSets,GSE37627,microRNA expression in epicardial mesothelial cells undergoing Epithelial-to-Mesenchymal Transition,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
PubMed focused transcriptomics search,PMID:41554254,Dynamic stiffness drives BMSC chondrogenesis viaIhh-regulated H3K18 lactylation/Rcan1axis and mitochondrial fission remodeling.,Title/summary,Excluded at title/summary,No public reusable transcriptomic dataset identified for the stiffness comparison at the search date
PubMed focused transcriptomics search,PMID:29803144,Induction of quiescence (G0) in bone marrow stromal stem cells enhances their stem cell characteristics.,Title/summary,Excluded at title/summary,"Expression study compares adherent proliferation with methylcellulose suspension-induced quiescence, not two controlled matrix-modulus levels"
PubMed focused transcriptomics search,PMID:26386315,Hydrogel arrays formed via differential wettability patterning enable combinatorial screening of stem cell behavior.,Title/summary,Excluded at title/summary,Phenotypic hydrogel-array study without a genome-wide transcriptomic outcome
Backward/forward citation and known-accession checking,GSE193021,Eligible matrix-stiffness MSC transcriptomic series,Full eligibility assessment,Included in quantitative synthesis,Eligible series missed by terminology-dependent database query; identified through citation/accession checking
